i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|bar|Unknown|1999|3|40434.7025|21523.35|21984.77|23385.83
Men|amalgimporto #1|ese|Unknown|1999|2|38363.878333333334|19465.60|27816.17|23006.86
Shoes|amalgedu pack #1|eing|Unknown|1999|2|39380.805|20492.56|29260.95|22091.27
Shoes|edu packedu pack #1|ese|Unknown|1999|2|38700.160833333335|19906.26|27349.84|20754.85
Children|exportiexporti #1|ese|Unknown|1999|2|40440.46166666667|21654.60|27204.91|24398.83
Shoes|exportiedu pack #1|eing|Unknown|1999|5|40111.49833333334|21345.98|23579.03|20899.76
Children|exportiexporti #1|ese|Unknown|1999|6|40440.46166666667|21678.49|26776.27|23980.00
Men|edu packimporto #1|bar|Unknown|1999|6|40434.7025|21696.29|23450.82|24721.32
Men|edu packimporto #1|ese|Unknown|1999|2|40447.371666666666|21711.71|27188.22|25297.90
Music|edu packscholar #1|bar|Unknown|1999|7|40798.339166666665|22066.60|24366.02|54743.98
Children|exportiexporti #1|eing|Unknown|1999|4|39858.78|21194.02|23706.18|24184.19
Music|importoscholar #1|eing|Unknown|1999|4|38734.135|20129.14|21970.89|21559.32
Shoes|edu packedu pack #1|bar|Unknown|1999|2|38412.4675|19809.16|27337.03|24418.99
Shoes|exportiedu pack #1|able|Unknown|1999|4|40480.04833333333|21893.76|23162.06|25014.55
Shoes|amalgedu pack #1|ese|Unknown|1999|2|39242.18|20662.47|26387.14|22551.77
Women|importoamalg #1|able|Unknown|1999|2|39513.818333333336|20966.01|28142.37|23682.93
Music|exportischolar #1|ese|Unknown|1999|6|39033.5225|20493.00|22387.36|25125.92
Women|importoamalg #1|able|Unknown|1999|5|39513.818333333336|20976.22|22771.24|21477.93
Shoes|exportiedu pack #1|ese|Unknown|1999|2|40623.431666666664|22089.70|27098.73|24494.83
Men|importoimporto #1|able|Unknown|1999|6|38008.318333333336|19480.83|23099.94|22419.48
Shoes|edu packedu pack #1|able|Unknown|1999|3|38958.425|20444.90|21768.08|21329.74
Children|exportiexporti #1|able|Unknown|1999|4|39629.699166666665|21124.74|23625.66|24639.46
Music|edu packscholar #1|bar|Unknown|1999|4|40798.339166666665|22302.70|25828.48|20289.60
Men|exportiimporto #1|eing|Unknown|1999|7|38568.26416666667|20085.36|22598.83|51479.99
Children|importoexporti #1|bar|Unknown|1999|2|39578.79833333333|21126.94|27959.39|22525.83
Men|edu packimporto #1|bar|Unknown|1999|2|40434.7025|21984.77|28333.35|21523.35
Men|amalgimporto #1|eing|Unknown|1999|4|37597.07166666666|19172.54|21687.61|21806.48
Shoes|exportiedu pack #1|bar|Unknown|1999|2|40011.0|21588.98|26970.46|23180.74
Children|edu packexporti #1|eing|Unknown|1999|2|37450.160833333335|19032.47|26346.44|21128.73
Music|edu packscholar #1|ese|Unknown|1999|5|40571.520833333336|22189.16|22785.67|22540.87
Women|amalgamalg #1|ese|Unknown|1999|2|38429.905|20110.34|28884.53|24798.67
Music|exportischolar #1|eing|Unknown|1999|2|38882.004166666666|20580.58|27938.97|21536.84
Music|amalgscholar #1|ese|Unknown|1999|2|35995.480833333335|17696.96|22992.90|20217.98
Music|edu packscholar #1|eing|Unknown|1999|2|40872.53916666667|22595.00|30912.67|22990.56
Men|amalgimporto #1|bar|Unknown|1999|3|38142.700833333336|19874.02|21368.70|21052.85
Women|importoamalg #1|ese|Unknown|1999|3|38414.74|20154.98|20260.30|22994.86
Children|importoexporti #1|eing|Unknown|1999|6|39356.2675|21103.43|23670.81|24155.85
Children|exportiexporti #1|eing|Unknown|1999|2|39858.78|21656.19|31303.22|23706.18
Men|edu packimporto #1|able|Unknown|1999|4|41362.71166666667|23174.00|24614.10|24662.21
Men|amalgimporto #1|ese|Unknown|1999|4|38363.878333333334|20175.74|23006.86|21533.88
Women|importoamalg #1|ese|Unknown|1999|2|38414.74|20260.30|24957.61|20154.98
Shoes|importoedu pack #1|eing|Unknown|1999|2|38440.98333333333|20290.71|27838.73|22853.68
Children|exportiexporti #1|bar|Unknown|1999|6|38539.63333333333|20407.64|22505.73|22815.77
Shoes|exportiedu pack #1|ese|Unknown|1999|4|40623.431666666664|22492.74|24494.83|24057.23
Women|edu packamalg #1|ese|Unknown|1999|6|36382.61083333333|18262.44|21868.45|23254.57
Shoes|importoedu pack #1|able|Unknown|1999|4|38495.934166666666|20438.69|22057.88|21485.41
Women|importoamalg #1|able|Unknown|1999|6|39513.818333333336|21477.93|20976.22|23127.80
Music|edu packscholar #1|ese|Unknown|1999|6|40571.520833333336|22540.87|22189.16|25555.58
Women|amalgamalg #1|able|Unknown|1999|3|38941.75166666666|20945.71|21668.78|18854.36
Music|edu packscholar #1|bar|Unknown|1999|2|40798.339166666665|22805.92|29191.58|25828.48
Children|exportiexporti #1|able|Unknown|1999|7|39629.699166666665|21647.05|21958.86|53386.10
Men|edu packimporto #1|able|Unknown|1999|6|41362.71166666667|23388.46|24662.21|23391.65
Music|exportischolar #1|eing|Unknown|1999|6|38882.004166666666|20909.55|22157.47|23321.06
Men|edu packimporto #1|able|Unknown|1999|7|41362.71166666667|23391.65|23388.46|53977.11
Music|importoscholar #1|bar|Unknown|1999|7|38641.695|20674.10|22677.79|51483.52
Shoes|edu packedu pack #1|ese|Unknown|1999|3|38700.160833333335|20754.85|19906.26|23771.36
Music|amalgscholar #1|able|Unknown|1999|2|36664.410833333335|18725.10|26365.62|18946.18
Shoes|amalgedu pack #1|able|Unknown|1999|3|40343.784166666665|22410.53|21227.99|23610.18
Shoes|importoedu pack #1|bar|Unknown|1999|2|38439.693333333336|20525.42|28128.66|21579.59
Music|importoscholar #1|ese|Unknown|1999|6|38761.58833333333|20866.78|23112.20|22624.78
Men|edu packimporto #1|ese|Unknown|1999|4|40447.371666666666|22553.39|25297.90|23088.77
Music|edu packscholar #1|eing|Unknown|1999|3|40872.53916666667|22990.56|22595.00|23459.20
Children|importoexporti #1|eing|Unknown|1999|3|39356.2675|21474.53|19298.76|23910.25
Shoes|importoedu pack #1|eing|Unknown|1999|6|38440.98333333333|20568.15|23148.69|21632.79
Children|edu packexporti #1|ese|Unknown|1999|2|37172.38333333333|19305.23|26264.37|21479.14
Children|importoexporti #1|able|Unknown|1999|4|39017.475|21173.37|22369.22|23314.66
Men|edu packimporto #1|eing|Unknown|1999|7|40726.59166666667|22923.72|23112.54|50140.84
Music|edu packscholar #1|ese|Unknown|1999|4|40571.520833333336|22785.67|23099.55|22189.16
