s_store_name|i_item_desc|revenue|i_current_price|i_wholesale_cost|i_brand
able|A|7.58|4.05|1.45|namelessnameless #1
able|A|4.35|7.74|2.94|edu packedu pack #1
able|A|6.74|1.91|0.61|edu packscholar #1
able|A|5.24|1.11|0.87|corpbrand #1
able|A|3.29|9.15|7.22|importoscholar #2
able|A b|5.89|3.07|1.07|edu packbrand #4
able|A b|0.00|3.07|1.07|edu packbrand #4
able|A bit broad things may emerge suddenly sheets. Recently other types educate clearly true, available mod|2.51|4.72|3.54|amalgbrand #3
able|A bit dead funds shall give then; dogs would not result very furious i|4.74|2.14|1.24|namelesscorp #1
able|A bit great developments could not manage as with a sources; intellectual years arrange both years. National products could denounce other, possible costs. Times will |6.76|84.84|33.93|amalgamalg #1
able|A bit great developments could not manage as with a sources; intellectual years arrange both years. National products could denounce other, possible costs. Times will |0.91|84.84|33.93|amalgamalg #1
able|A bit religious objects provide very detailed figures. Normal falls|7.63|8.96|4.65|scholarunivamalg #13
able|A little able times win merely long different years. Magic emissions should not return otherwise part-time prices; signals offer; fatal, im|2.02|0.77|0.30|scholarnameless #6
able|A little confidential years know internal changes. Possible, thick sounds used to provide recently others. Possible plants eat more relevant, equal countries|4.71|6.19|3.40|importoscholar #2
able|A little criminal governments connect bands. Girls must not believe now smooth, personal names. Able lines consider. Immediately national members reduce vulnerable pounds. Classical kids increase ot|2.43|4.66|2.42|scholarunivamalg #9
able|A little criminal governments connect bands. Girls must not believe now smooth, personal names. Able lines consider. Immediately national members reduce vulnerable pounds. Classical kids increase ot|5.29|4.66|2.42|scholarunivamalg #9
able|A little delicious employers meet problems. Open comments expect well local christians. Visually heavy children would sa|3.88|4.37|2.88|exportiedu pack #1
able|A little developing things sustain dark, random numbers; buildings can get also from a teeth; great, bottom hotels shoul|4.58|5.62|3.09|exportiexporti #1
able|A little different things ought to grow quickly pale delighted consequences; scientists used to start there different resources. Rates run fai|0.51|8.80|5.89|amalgimporto #1
able|A little different things ought to grow quickly pale delighted consequences; scientists used to start there different resources. Rates run fai|3.85|8.80|5.89|amalgimporto #1
able|A little free flames shall incorporate by a|2.51|1.55|0.85|corpmaxi #5
able|A little fri|1.86|6.79|3.87|namelessunivamalg #17
