channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|4|Women|324|482078.06
catalog|cs_ship_addr_sk|1999|1|NULL|2|1705.88
catalog|cs_ship_addr_sk|1999|1|Books|90|136088.38
catalog|cs_ship_addr_sk|1999|1|Children|115|133152.05
catalog|cs_ship_addr_sk|1999|1|Electronics|110|195557.72
catalog|cs_ship_addr_sk|1999|1|Home|95|126406.88
catalog|cs_ship_addr_sk|1999|1|Jewelry|110|220452.12
catalog|cs_ship_addr_sk|1999|1|Men|107|134814.17
catalog|cs_ship_addr_sk|1999|1|Music|90|81141.93
catalog|cs_ship_addr_sk|1999|1|Shoes|95|105823.55
catalog|cs_ship_addr_sk|1999|1|Sports|111|108799.35
catalog|cs_ship_addr_sk|1999|1|Women|99|201620.60
catalog|cs_ship_addr_sk|1999|2|NULL|3|984.70
catalog|cs_ship_addr_sk|1999|2|Books|102|150976.48
catalog|cs_ship_addr_sk|1999|2|Children|123|182626.57
catalog|cs_ship_addr_sk|1999|2|Electronics|114|157165.08
catalog|cs_ship_addr_sk|1999|2|Home|108|105427.52
catalog|cs_ship_addr_sk|1999|2|Jewelry|111|129672.11
catalog|cs_ship_addr_sk|1999|2|Men|110|134283.31
catalog|cs_ship_addr_sk|1999|2|Music|101|108501.49
catalog|cs_ship_addr_sk|1999|2|Shoes|101|173632.08
catalog|cs_ship_addr_sk|1999|2|Sports|109|135068.22
catalog|cs_ship_addr_sk|1999|2|Women|108|139537.88
catalog|cs_ship_addr_sk|1999|3|NULL|2|5003.50
catalog|cs_ship_addr_sk|1999|3|Books|192|228592.31
catalog|cs_ship_addr_sk|1999|3|Children|170|223307.63
catalog|cs_ship_addr_sk|1999|3|Electronics|191|189959.66
catalog|cs_ship_addr_sk|1999|3|Home|177|188776.09
catalog|cs_ship_addr_sk|1999|3|Jewelry|185|245614.26
catalog|cs_ship_addr_sk|1999|3|Men|196|271956.29
catalog|cs_ship_addr_sk|1999|3|Music|239|344499.93
catalog|cs_ship_addr_sk|1999|3|Shoes|203|318540.24
catalog|cs_ship_addr_sk|1999|3|Sports|192|229102.11
catalog|cs_ship_addr_sk|1999|3|Women|192|340584.80
catalog|cs_ship_addr_sk|1999|4|NULL|13|17619.52
catalog|cs_ship_addr_sk|1999|4|Books|292|352000.87
catalog|cs_ship_addr_sk|1999|4|Children|332|429381.34
catalog|cs_ship_addr_sk|1999|4|Electronics|322|346617.69
catalog|cs_ship_addr_sk|1999|4|Home|324|362507.83
catalog|cs_ship_addr_sk|1999|4|Jewelry|286|323754.87
catalog|cs_ship_addr_sk|1999|4|Men|336|412598.12
catalog|cs_ship_addr_sk|1999|4|Music|293|423151.47
catalog|cs_ship_addr_sk|1999|4|Shoes|342|390769.22
catalog|cs_ship_addr_sk|1999|4|Sports|286|378306.57
catalog|cs_ship_addr_sk|1999|4|Women|314|362522.78
catalog|cs_ship_addr_sk|2000|1|NULL|2|7545.94
catalog|cs_ship_addr_sk|2000|1|Books|109|160720.44
catalog|cs_ship_addr_sk|2000|1|Children|93|120129.97
catalog|cs_ship_addr_sk|2000|1|Electronics|106|116917.18
catalog|cs_ship_addr_sk|2000|1|Home|110|105764.37
catalog|cs_ship_addr_sk|2000|1|Jewelry|100|107518.93
catalog|cs_ship_addr_sk|2000|1|Men|110|128801.68
catalog|cs_ship_addr_sk|2000|1|Music|96|168488.60
catalog|cs_ship_addr_sk|2000|1|Shoes|115|165173.71
catalog|cs_ship_addr_sk|2000|1|Sports|114|165504.52
catalog|cs_ship_addr_sk|2000|1|Women|109|121157.06
catalog|cs_ship_addr_sk|2000|2|NULL|2|1202.85
