i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|cally|Unknown|6|17029.84|28361.524166666666
Women|dresses|amalgamalg #2|eing|Unknown|2|9654.57|20743.519166666665
Men|shirts|importoimporto #1|ought|Unknown|2|10967.34|22037.510833333334
Women|dresses|amalgamalg #1|eing|Unknown|1|26971.99|38014.0175
Men|shirts|importoimporto #1|cally|Unknown|5|16756.10|27613.28583333333
Women|dresses|amalgamalg #2|eing|Unknown|4|9984.66|20743.519166666665
Women|dresses|amalgamalg #1|ought|Unknown|6|11479.24|22212.475833333334
Women|dresses|amalgamalg #1|bar|Unknown|1|27265.71|37768.909166666665
Women|dresses|amalgamalg #1|ation|Unknown|4|11860.79|22304.643333333333
Men|shirts|importoimporto #1|cally|Unknown|4|17224.41|27613.28583333333
Men|shirts|importoimporto #1|able|Unknown|1|27839.69|37920.40416666667
Women|dresses|amalgamalg #1|able|Unknown|1|28874.25|38941.75166666666
Men|shirts|importoimporto #1|ought|Unknown|4|11975.49|22037.510833333334
Women|dresses|amalgamalg #1|ought|Unknown|3|12163.90|22212.475833333334
Women|dresses|amalgamalg #2|bar|Unknown|6|10293.33|20265.31333333333
Women|dresses|amalgamalg #1|cally|Unknown|1|18419.97|28361.524166666666
Men|shirts|importoimporto #1|eing|Unknown|1|28900.42|38784.934166666666
Men|shirts|importoimporto #1|bar|Unknown|1|28179.27|38026.77
Men|shirts|importoimporto #2|eing|Unknown|3|8223.29|18004.02666666667
Men|shirts|importoimporto #1|ought|Unknown|7|12337.59|22037.510833333334
Women|dresses|amalgamalg #1|ought|Unknown|2|12519.09|22212.475833333334
Men|shirts|importoimporto #1|ation|Unknown|2|12247.50|21895.951666666668
Women|dresses|amalgamalg #2|ese|Unknown|2|10348.34|19983.184166666666
Women|dresses|amalgamalg #1|ese|Unknown|1|28884.53|38429.905
Women|dresses|amalgamalg #1|ation|Unknown|5|12899.33|22304.643333333333
Women|dresses|amalgamalg #1|anti|Unknown|2|7545.47|16899.939166666667
Women|dresses|amalgamalg #1|ought|Unknown|5|12959.58|22212.475833333334
Women|dresses|amalgamalg #2|able|Unknown|2|10996.86|20228.43833333333
Men|shirts|importoimporto #1|ation|Unknown|5|12669.82|21895.951666666668
Women|dresses|amalgamalg #1|ought|Unknown|7|13040.68|22212.475833333334
Women|dresses|amalgamalg #1|ation|Unknown|2|13265.09|22304.643333333333
Women|dresses|amalgamalg #2|able|Unknown|4|11217.93|20228.43833333333
Women|dresses|amalgamalg #2|able|Unknown|7|11224.34|20228.43833333333
Women|dresses|amalgamalg #2|bar|Unknown|2|11270.50|20265.31333333333
Men|shirts|importoimporto #2|ese|Unknown|5|9131.75|18098.0575
Men|shirts|importoimporto #2|able|Unknown|2|8779.41|17723.99
Women|dresses|amalgamalg #2|bar|Unknown|5|11324.63|20265.31333333333
Women|dresses|amalgamalg #1|n st|Unknown|2|7631.36|16558.996666666666
Women|dresses|amalgamalg #2|able|Unknown|3|11303.71|20228.43833333333
Men|shirts|importoimporto #2|bar|Unknown|6|8856.71|17775.16
Women|dresses|amalgamalg #2|ese|Unknown|4|11128.33|19983.184166666666
Women|dresses|amalgamalg #1|pri|Unknown|7|8089.96|16925.6775
Men|shirts|importoimporto #2|eing|Unknown|2|9194.82|18004.02666666667
