d_week_seq1|r1|r2|r3|r4|r5|r6|round((sat_sales1 / sat_sales2), 2)
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5273|0.99|1.02|1.0|1.06|0.92|0.92|1.06
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5274|1.03|1.0|0.91|0.95|1.0|1.04|0.93
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5275|1.01|0.96|1.0|0.97|0.96|1.05|0.92
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5276|1.07|0.98|1.01|0.99|1.02|1.05|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5277|0.96|1.03|1.05|0.99|1.01|1.03|1.02
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5278|1.08|1.0|1.03|1.01|1.03|3.23|1.5
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
5279|0.98|0.96|1.0|1.0|0.37|0.71|1.01
