channel|id|sales|returns_|profit
catalog channel|catalog_pageAAAAAAAABKABAAAA|58296.48|3473.21|-38770.15
catalog channel|catalog_pageAAAAAAAABLABAAAA|57301.28|1235.82|-6382.39
catalog channel|catalog_pageAAAAAAAABLCBAAAA|66382.74|0.00|5041.89
catalog channel|catalog_pageAAAAAAAABMABAAAA|114385.72|2155.03|-8938.52
catalog channel|catalog_pageAAAAAAAABMCBAAAA|58150.11|0.00|-2533.77
catalog channel|catalog_pageAAAAAAAABNABAAAA|111384.89|4243.83|-21124.79
catalog channel|catalog_pageAAAAAAAABNCBAAAA|50597.74|1781.64|-3093.92
catalog channel|catalog_pageAAAAAAAABOABAAAA|79335.34|5328.44|-28047.08
catalog channel|catalog_pageAAAAAAAABOCBAAAA|47376.56|4601.07|-20080.95
catalog channel|catalog_pageAAAAAAAABPCBAAAA|60467.12|226.38|15083.19
catalog channel|catalog_pageAAAAAAAACADBAAAA|45226.21|0.00|14099.36
catalog channel|catalog_pageAAAAAAAACBABAAAA|275545.84|4036.80|2902.73
catalog channel|catalog_pageAAAAAAAACBDBAAAA|57661.58|11112.26|-4468.53
catalog channel|catalog_pageAAAAAAAACCABAAAA|233716.67|9982.84|-9540.59
catalog channel|catalog_pageAAAAAAAACCDBAAAA|32751.15|32.48|-21274.56
catalog channel|catalog_pageAAAAAAAACDABAAAA|235072.78|6737.25|-25603.20
catalog channel|catalog_pageAAAAAAAACDDBAAAA|66211.59|11172.90|-5936.54
catalog channel|catalog_pageAAAAAAAACEABAAAA|206299.06|12085.01|-33053.21
catalog channel|catalog_pageAAAAAAAACEDBAAAA|42935.08|97.07|-313.72
catalog channel|catalog_pageAAAAAAAACFABAAAA|165258.27|7437.07|-26022.75
catalog channel|catalog_pageAAAAAAAACFDBAAAA|86048.03|0.00|14362.73
catalog channel|catalog_pageAAAAAAAACGABAAAA|195821.56|13388.06|-9266.59
catalog channel|catalog_pageAAAAAAAACGDBAAAA|58785.40|0.00|-10622.55
catalog channel|catalog_pageAAAAAAAACHABAAAA|187302.83|2665.48|-52595.08
catalog channel|catalog_pageAAAAAAAACHDBAAAA|28036.77|0.00|-12603.27
catalog channel|catalog_pageAAAAAAAACIABAAAA|75907.43|14748.09|-11945.05
catalog channel|catalog_pageAAAAAAAACIDBAAAA|40874.61|225.06|-9343.45
catalog channel|catalog_pageAAAAAAAACJABAAAA|109696.59|8718.39|-32530.59
catalog channel|catalog_pageAAAAAAAACKABAAAA|77419.28|6.87|484.75
catalog channel|catalog_pageAAAAAAAACLABAAAA|75438.31|3519.83|-26528.44
catalog channel|catalog_pageAAAAAAAACLCBAAAA|82773.13|665.98|-204.24
catalog channel|catalog_pageAAAAAAAACMABAAAA|87844.54|2932.80|-4288.11
catalog channel|catalog_pageAAAAAAAACMCBAAAA|35176.61|0.00|-2117.07
catalog channel|catalog_pageAAAAAAAACNABAAAA|115955.21|8724.88|-25150.43
catalog channel|catalog_pageAAAAAAAACNCBAAAA|43559.39|486.01|-243.72
catalog channel|catalog_pageAAAAAAAACOABAAAA|106967.77|1650.27|-2100.05
catalog channel|catalog_pageAAAAAAAACOCBAAAA|24762.98|923.32|-2419.74
catalog channel|catalog_pageAAAAAAAACPCBAAAA|74489.09|838.71|-18839.15
catalog channel|catalog_pageAAAAAAAADADBAAAA|48609.11|0.00|2327.99
catalog channel|catalog_pageAAAAAAAADBABAAAA|165064.04|6164.99|-67156.35
catalog channel|catalog_pageAAAAAAAADBDBAAAA|39778.75|1433.04|412.96
catalog channel|catalog_pageAAAAAAAADCABAAAA|211759.49|2783.58|1143.23
catalog channel|catalog_pageAAAAAAAADCDBAAAA|90924.82|960.52|11190.92
catalog channel|catalog_pageAAAAAAAADDABAAAA|186393.80|10866.33|-36707.34
catalog channel|catalog_pageAAAAAAAADDDBAAAA|73274.87|3198.19|-21344.67
catalog channel|catalog_pageAAAAAAAADEABAAAA|219491.77|1618.55|-41072.05
catalog channel|catalog_pageAAAAAAAADEDBAAAA|60586.59|11990.40|-2186.38
catalog channel|catalog_pageAAAAAAAADFABAAAA|194036.99|8681.42|-47523.49
catalog channel|catalog_pageAAAAAAAADFDBAAAA|55151.15|77.28|-17501.74
catalog channel|catalog_pageAAAAAAAADGABAAAA|216003.21|4320.41|-8667.94
catalog channel|catalog_pageAAAAAAAADGDBAAAA|80838.54|388.32|2120.55
catalog channel|catalog_pageAAAAAAAADHABAAAA|167782.06|9533.73|-25392.03
