w_substr|sm_type|cc_name_lower|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|REGULAR|north midwest_1|1157|1203|1226|0|0
NULL|REGULAR|ny metro|1210|1171|1184|0|0
NULL|REGULAR|ny metro_1|1205|1177|1206|0|0
NULL|REGULAR|pacific northwest|1189|1181|1207|0|0
NULL|REGULAR|pacific northwest_1|1178|1184|1218|0|0
NULL|TWO DAY|california|1153|1240|1232|0|0
NULL|TWO DAY|california_1|1131|1211|1234|0|0
NULL|TWO DAY|hawaii/alaska|1202|1152|1126|0|0
NULL|TWO DAY|hawaii/alaska_1|1152|1189|1218|0|0
NULL|TWO DAY|mid atlantic|1146|1140|1212|0|0
NULL|TWO DAY|mid atlantic_1|1160|1230|1212|0|0
NULL|TWO DAY|north midwest|1162|1172|1253|0|0
NULL|TWO DAY|north midwest_1|1159|1201|1231|0|0
NULL|TWO DAY|ny metro|1179|1194|1265|0|0
NULL|TWO DAY|ny metro_1|1184|1221|1216|0|0
NULL|TWO DAY|pacific northwest|1187|1244|1263|0|0
NULL|TWO DAY|pacific northwest_1|1177|1230|1198|0|0
Certainly fede|EXPRESS|california|1553|1571|1509|0|0
Certainly fede|EXPRESS|california_1|1561|1658|1612|0|0
Certainly fede|EXPRESS|hawaii/alaska|1470|1618|1552|0|0
Certainly fede|EXPRESS|hawaii/alaska_1|1530|1584|1616|0|0
Certainly fede|EXPRESS|mid atlantic|1534|1650|1686|0|0
Certainly fede|EXPRESS|mid atlantic_1|1507|1609|1617|0|0
Certainly fede|EXPRESS|north midwest|1525|1591|1627|0|0
Certainly fede|EXPRESS|north midwest_1|1588|1598|1618|0|0
Certainly fede|EXPRESS|ny metro|1443|1615|1612|0|0
Certainly fede|EXPRESS|ny metro_1|1605|1603|1590|0|0
Certainly fede|EXPRESS|pacific northwest|1581|1631|1629|0|0
Certainly fede|EXPRESS|pacific northwest_1|1548|1621|1619|0|0
Certainly fede|LIBRARY|california|1130|1245|1147|0|0
Certainly fede|LIBRARY|california_1|1159|1227|1173|0|0
Certainly fede|LIBRARY|hawaii/alaska|1156|1146|1218|0|0
Certainly fede|LIBRARY|hawaii/alaska_1|1150|1223|1198|0|0
Certainly fede|LIBRARY|mid atlantic|1177|1263|1197|0|0
Certainly fede|LIBRARY|mid atlantic_1|1221|1272|1205|0|0
Certainly fede|LIBRARY|north midwest|1167|1276|1171|0|0
Certainly fede|LIBRARY|north midwest_1|1168|1217|1182|0|0
Certainly fede|LIBRARY|ny metro|1112|1183|1108|0|0
Certainly fede|LIBRARY|ny metro_1|1157|1157|1168|0|0
Certainly fede|LIBRARY|pacific northwest|1187|1218|1205|0|0
Certainly fede|LIBRARY|pacific northwest_1|1150|1158|1215|0|0
Certainly fede|NEXT DAY|california|1530|1525|1565|0|0
Certainly fede|NEXT DAY|california_1|1476|1653|1545|0|0
Certainly fede|NEXT DAY|hawaii/alaska|1555|1581|1555|0|0
Certainly fede|NEXT DAY|hawaii/alaska_1|1568|1519|1627|0|0
