w_substr|sm_type|web_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
Certainly fede|LIBRARY|site_0|764|783|765|786|0
Certainly fede|LIBRARY|site_1|777|781|782|794|0
Certainly fede|LIBRARY|site_2|751|811|813|775|0
Certainly fede|LIBRARY|site_3|815|764|775|808|0
Certainly fede|LIBRARY|site_4|736|837|747|768|0
Certainly fede|LIBRARY|site_5|745|757|729|819|0
Certainly fede|LIBRARY|site_6|830|802|740|722|0
Certainly fede|NEXT DAY|site_0|1064|1015|1092|1000|0
Certainly fede|NEXT DAY|site_1|981|1022|1004|1055|0
Certainly fede|NEXT DAY|site_2|1049|1069|1015|1041|0
Certainly fede|NEXT DAY|site_3|999|972|1080|1009|0
Certainly fede|NEXT DAY|site_4|1017|1031|1059|1066|0
Certainly fede|NEXT DAY|site_5|1055|1075|1043|1032|0
Certainly fede|NEXT DAY|site_6|1035|945|1008|1010|0
Certainly fede|OVERNIGHT|site_0|761|802|752|766|0
Certainly fede|OVERNIGHT|site_1|801|778|737|755|0
Certainly fede|OVERNIGHT|site_2|796|814|763|778|0
Certainly fede|OVERNIGHT|site_3|738|760|732|796|0
Certainly fede|OVERNIGHT|site_4|808|778|782|758|0
Certainly fede|OVERNIGHT|site_5|744|802|773|761|0
Certainly fede|OVERNIGHT|site_6|802|788|732|754|0
Certainly fede|REGULAR|site_0|794|793|717|764|0
Certainly fede|REGULAR|site_1|736|842|780|824|0
Certainly fede|REGULAR|site_2|790|788|773|795|0
Certainly fede|REGULAR|site_3|766|748|772|775|0
Certainly fede|REGULAR|site_4|736|745|734|815|0
Certainly fede|REGULAR|site_5|773|748|798|764|0
Certainly fede|REGULAR|site_6|760|770|781|800|0
Certainly fede|TWO DAY|site_0|830|734|786|809|0
Certainly fede|TWO DAY|site_1|760|818|779|752|0
Certainly fede|TWO DAY|site_2|770|748|798|756|0
Certainly fede|TWO DAY|site_3|793|758|793|763|0
Certainly fede|TWO DAY|site_4|739|807|742|805|0
Certainly fede|TWO DAY|site_5|795|802|769|795|0
Certainly fede|TWO DAY|site_6|769|736|743|779|0
Conventional childr|EXPRESS|site_0|972|980|1073|1033|0
Conventional childr|EXPRESS|site_1|1053|998|1064|1079|0
Conventional childr|EXPRESS|site_2|1003|1014|1061|1015|0
Conventional childr|EXPRESS|site_3|1066|1002|1039|1012|0
Conventional childr|EXPRESS|site_4|1068|1068|1071|1018|0
Conventional childr|EXPRESS|site_5|1029|1004|990|1037|0
Conventional childr|EXPRESS|site_6|1015|1066|1041|1103|0
Conventional childr|LIBRARY|site_0|776|771|755|734|0
Conventional childr|LIBRARY|site_1|737|785|798|722|0
Conventional childr|LIBRARY|site_2|806|743|789|754|0
Conventional childr|LIBRARY|site_3|765|770|794|827|0
Conventional childr|LIBRARY|site_4|787|748|816|804|0
Conventional childr|LIBRARY|site_5|780|842|743|737|0
Conventional childr|LIBRARY|site_6|777|702|820|790|0
Conventional childr|NEXT DAY|site_0|1056|1007|1043|1002|0
Conventional childr|NEXT DAY|site_1|1042|992|1028|1050|0
