c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
NULL|NULL|Clinton|Mountain View|176705|206.52|-9960.11
NULL|NULL|Colonial Heights|Highland Park|840959|3761.18|-10510.40
NULL|NULL|Concord|Belmont|972687|4248.02|-19769.21
NULL|NULL|Concord|Blue Springs|1800630|2733.39|-4813.54
NULL|NULL|Concord|Farmington|873741|44.26|-692.58
NULL|NULL|Concord|Florence|208416|130.71|-6505.52
NULL|NULL|Concord|Georgetown|1831436|165.00|-3933.22
NULL|NULL|Concord|Oak Grove|482994|1819.56|-12954.41
NULL|NULL|Concord|Spring Valley|1746043|116.46|-7252.09
NULL|NULL|Crossroads|Allentown|1007188|69.91|-9801.69
NULL|NULL|Crossroads|Forest Hills|176268|2151.91|-9509.25
NULL|NULL|Crossroads|Pleasant Valley|562262|1944.77|-13463.59
NULL|NULL|Crossroads|Point Pleasant|1797595|0.00|-6348.65
NULL|NULL|Deerfield|Belfast|611789|148.90|-2768.40
NULL|NULL|Deerfield|Clifford|877299|1741.95|-3192.35
NULL|NULL|Deerfield|Clifton|1082038|5773.05|-12898.65
NULL|NULL|Deerfield|Lebanon|957717|184.23|-9813.45
NULL|NULL|Deerfield|Newtown|333378|1987.82|-7113.18
NULL|NULL|Deerfield|Shiloh|1024766|1871.02|-3498.15
NULL|NULL|Deerfield|Wildwood|1574759|3738.46|-7889.15
NULL|NULL|Dexter|Little River|422852|1509.83|-10043.91
NULL|NULL|Doyle|Sunnyside|1298209|484.55|-17024.28
NULL|NULL|Edgewood|Belmont|1639193|1225.79|-9179.70
NULL|NULL|Edgewood|Enterprise|2380175|151.95|-11485.73
NULL|NULL|Edgewood|Kingston|435640|139.41|-8985.12
NULL|NULL|Edgewood|Shady Grove|1831083|6193.98|-10687.98
NULL|NULL|Edgewood|Walnut Grove|2329642|1196.78|-2965.94
NULL|NULL|Enterprise|Edgewood|951305|9543.49|-5508.90
NULL|NULL|Enterprise|Lincoln|1336131|0.00|-10772.60
