brand_id|brand|t_hour|t_minute|ext_price
1001001|"amalgamalg #1"|17|19|12583.88
4003001|"exportiedu pack #1"|9|55|12580.02
8001007|"amalgnameless #7"|9|7|12570.46
7008009|"namelessbrand #9"|18|33|12562.00
9012005|"importounivamalg #5"|18|21|12558.00
2004002|"edu packimporto #2"|6|24|12514.56
10015004|"scholaramalgamalg #4"|9|51|12504.18
6016003|"corpbrand #3"|18|8|12465.90
9004011|"edu packmaxi #11"|9|35|12460.64
1004001|"edu packamalg #1"|9|37|12450.88
7004009|"edu packbrand #9"|9|34|12441.04
10016016|"corpamalgamalg #16"|18|30|12430.12
1004002|"edu packamalg #2"|18|33|12408.40
6003003|"exporticorp #3"|18|44|12400.00
8006008|"corpnameless #8"|7|9|12391.48
5002001|"importoscholar #1"|19|38|12366.87
3004001|"edu packexporti #1"|18|13|12355.36
1003001|"exportiamalg #1"|9|3|12354.72
3003002|"exportiexporti #2"|19|35|12318.00
4003002|"exportiedu pack #2"|7|21|12317.58
5003001|"exportischolar #1"|18|21|12302.67
5004001|"edu packscholar #1"|17|37|12300.28
7005007|"scholarbrand #7"|18|28|12293.76
1003001|"exportiamalg #1"|8|13|12274.43
8009005|"maxinameless #5"|18|7|12254.33
9011008|"amalgunivamalg #8"|17|13|12204.15
2001001|"amalgimporto #1"|7|30|12196.80
4001001|"amalgedu pack #1"|9|30|12175.20
1002001|"importoamalg #1"|18|50|12160.68
3003001|"exportiexporti #1"|6|38|12152.80
3003001|"exportiexporti #1"|7|32|12118.60
5002001|"importoscholar #1"|6|18|12082.19
4003001|"exportiedu pack #1"|18|44|12070.50
4003001|"exportiedu pack #1"|18|48|12001.54
1001001|"amalgamalg #1"|19|52|11990.29
8015007|"scholarmaxi #7"|8|34|11983.48
2003002|"exportiimporto #2"|9|56|11978.26
2002001|"importoimporto #1"|19|55|11976.65
5001001|"amalgscholar #1"|18|20|11929.16
2003001|"exportiimporto #1"|19|12|11917.09
3004001|"edu packexporti #1"|7|22|11897.54
4002001|"importoedu pack #1"|19|56|11869.92
1001002|"amalgamalg #2"|18|18|11869.85
3003001|"exportiexporti #1"|19|9|11860.86
10012004|"importoamalgamalg #4"|19|2|11856.10
3004002|"edu packexporti #2"|18|19|11833.61
8005003|"scholarnameless #3"|17|17|11827.62
7010004|"univnameless #4"|19|2|11818.00
4003001|"exportiedu pack #1"|17|39|11783.47
2004001|"edu packimporto #1"|17|16|11773.13
5004001|"edu packscholar #1"|19|21|11761.64
4001001|"amalgedu pack #1"|9|3|11748.96
9002011|"importomaxi #11"|9|24|11740.32
6004003|"edu packcorp #3"|18|21|11738.91
10010006|"univamalgamalg #6"|9|10|11731.50
7007004|"brandbrand #4"|19|13|11704.65
1001001|"amalgamalg #1"|19|12|11700.04
1001001|"amalgamalg #1"|9|0|11674.82
1001001|"amalgamalg #1"|8|46|11666.34
3004001|"edu packexporti #1"|19|10|11617.32
5003001|"exportischolar #1"|9|42|11612.48
10003011|"exportiunivamalg #11"|17|40|11608.27
6003007|"exporticorp #7"|18|15|11581.68
3004001|"edu packexporti #1"|9|11|11580.88
1004002|"edu packamalg #2"|17|5|11571.12
8016001|"corpmaxi #1"|17|30|11558.08
2001001|"amalgimporto #1"|17|29|11557.63
6007003|"brandcorp #3"|18|46|11551.00
9002003|"importomaxi #3"|19|21|11547.85
6013006|"exportibrand #6"|18|2|11508.93
9007009|"brandmaxi #9"|19|42|11506.81
6002001|"importocorp #1"|9|45|11497.08
1004001|"edu packamalg #1"|7|21|11479.74
8005001|"scholarnameless #1"|7|20|11443.65
1001001|"amalgamalg #1"|17|57|11443.50
5001001|"amalgscholar #1"|19|24|11399.38
9001005|"amalgmaxi #5"|19|39|11395.44
1004002|"edu packamalg #2"|18|27|11367.86
10004001|"edu packunivamalg #1"|17|45|11365.68
1001002|"amalgamalg #2"|18|22|11329.39
5004001|"edu packscholar #1"|17|20|11320.38
10009009|"maxiunivamalg #9"|9|12|11303.12
1004001|"edu packamalg #1"|6|29|11299.88
6005001|"scholarcorp #1"|19|59|11290.54
9001011|"amalgmaxi #11"|19|34|11279.16
1004001|"edu packamalg #1"|17|23|11276.90
9015009|"scholarunivamalg #9"|19|39|11221.93
10009008|"maxiunivamalg #8"|9|43|11201.41
6008002|"namelesscorp #2"|6|23|11198.64
3003001|"exportiexporti #1"|18|32|11195.79
4004001|"edu packedu pack #1"|18|45|11189.60
1003001|"exportiamalg #1"|6|5|11156.31
3003001|"exportiexporti #1"|17|33|11153.84
3003002|"exportiexporti #2"|17|34|11092.20
3002001|"importoexporti #1"|17|27|11090.58
7010010|"univnameless #10"|17|43|11089.68
7011008|"amalgnameless #8"|6|30|11063.52
1001001|"amalgamalg #1"|18|8|10997.41
2001002|"amalgimporto #2"|9|11|10993.50
4004001|"edu packedu pack #1"|9|36|10924.08
3001001|"amalgexporti #1"|8|6|10911.54
5004001|"edu packscholar #1"|17|42|10908.85
1003001|"exportiamalg #1"|9|25|10845.66
1001001|"amalgamalg #1"|9|39|10832.56
9003005|"exportimaxi #5"|7|17|10828.74
10009006|"maxiunivamalg #6"|19|29|10798.40
5003001|"exportischolar #1"|17|30|10775.66
7003002|"exportibrand #2"|19|26|10762.20
7004006|"edu packbrand #6"|6|21|10757.50
4004002|"edu packedu pack #2"|17|23|10753.26
1001001|"amalgamalg #1"|18|20|10742.84
3003002|"exportiexporti #2"|19|0|10739.63
8005006|"scholarnameless #6"|17|14|10704.33
9014008|"edu packunivamalg #8"|17|0|10698.70
1003001|"exportiamalg #1"|7|54|10686.50
1002001|"importoamalg #1"|18|55|10684.15
7016001|"corpnameless #1"|9|38|10652.20
1001001|"amalgamalg #1"|17|18|10633.83
8008003|"namelessnameless #3"|9|44|10628.27
2003002|"exportiimporto #2"|7|43|10579.72
2001001|"amalgimporto #1"|19|45|10578.18
9007005|"brandmaxi #5"|7|31|10576.72
8013009|"exportimaxi #9"|18|30|10564.68
8001003|"amalgnameless #3"|18|47|10547.04
3003002|"exportiexporti #2"|17|37|10534.93
2004001|"edu packimporto #1"|18|59|10511.20
9006005|"corpmaxi #5"|19|6|10501.92
9003008|"exportimaxi #8"|8|17|10497.60
10012006|"importoamalgamalg #6"|17|10|10463.84
8004003|"edu packnameless #3"|6|37|10434.90
8005009|"scholarnameless #9"|17|55|10434.29
6009003|"maxicorp #3"|6|57|10432.90
4002002|"importoedu pack #2"|7|28|10418.34
6012001|"importobrand #1"|19|1|10411.05
4002002|"importoedu pack #2"|18|19|10383.00
2003002|"exportiimporto #2"|9|49|10374.95
4002001|"importoedu pack #1"|19|10|10368.17
4002001|"importoedu pack #1"|19|30|10362.94
2003002|"exportiimporto #2"|9|51|10341.02
4004002|"edu packedu pack #2"|6|42|10331.37
6004003|"edu packcorp #3"|9|22|10314.00
3001002|"amalgexporti #2"|8|3|10303.74
9012005|"importounivamalg #5"|19|22|10303.02
2004002|"edu packimporto #2"|7|10|10287.55
9006002|"corpmaxi #2"|7|9|10259.79
9014011|"edu packunivamalg #11"|18|47|10256.68
4002002|"importoedu pack #2"|19|57|10250.80
5003001|"exportischolar #1"|8|49|10227.30
3004001|"edu packexporti #1"|19|49|10211.74
4004001|"edu packedu pack #1"|8|2|10206.56
4001002|"amalgedu pack #2"|7|29|10183.06
5003001|"exportischolar #1"|6|34|10180.00
10014007|"edu packamalgamalg #7"|19|10|10174.48
10016013|"corpamalgamalg #13"|17|21|10167.84
5003001|"exportischolar #1"|19|46|10162.62
8008003|"namelessnameless #3"|17|28|10153.85
4003002|"exportiedu pack #2"|8|29|10128.96
5001001|"amalgscholar #1"|19|5|10128.69
6016006|"corpbrand #6"|7|14|10124.15
7011008|"amalgnameless #8"|19|0|10119.48
4003001|"exportiedu pack #1"|7|35|10103.93
5004002|"edu packscholar #2"|17|38|10092.85
9007008|"brandmaxi #8"|19|4|10080.52
4004002|"edu packedu pack #2"|19|56|10056.00
6011008|"amalgbrand #8"|18|29|10054.80
8006009|"corpnameless #9"|19|3|10024.96
8001001|"amalgnameless #1"|17|51|10012.00
4002001|"importoedu pack #1"|9|9|10006.76
7012009|"importonameless #9"|17|53|10000.65
8016003|"corpmaxi #3"|7|49|9975.00
10006003|"corpunivamalg #3"|19|3|9974.40
1003001|"exportiamalg #1"|8|58|9948.48
6001007|"amalgcorp #7"|17|1|9944.48
7010008|"univnameless #8"|19|1|9910.40
10006013|"corpunivamalg #13"|17|37|9866.16
2004002|"edu packimporto #2"|9|44|9865.80
1004002|"edu packamalg #2"|18|31|9860.96
6009003|"maxicorp #3"|17|42|9852.48
2002001|"importoimporto #1"|17|26|9835.80
6005001|"scholarcorp #1"|19|56|9826.23
2001002|"amalgimporto #2"|6|47|9823.77
10016007|"corpamalgamalg #7"|17|38|9822.24
9015011|"scholarunivamalg #11"|7|3|9819.00
1003002|"exportiamalg #2"|17|20|9812.88
6005007|"scholarcorp #7"|6|59|9806.00
1003002|"exportiamalg #2"|9|40|9805.88
3003001|"exportiexporti #1"|17|29|9797.59
2001002|"amalgimporto #2"|9|13|9793.32
3004001|"edu packexporti #1"|18|39|9767.03
7011008|"amalgnameless #8"|6|26|9761.84
4001002|"amalgedu pack #2"|19|34|9753.60
6003003|"exporticorp #3"|9|6|9746.10
3004001|"edu packexporti #1"|19|0|9732.80
9015011|"scholarunivamalg #11"|17|24|9695.68
4002001|"importoedu pack #1"|9|11|9688.41
8015005|"scholarmaxi #5"|18|45|9684.18
5003002|"exportischolar #2"|19|44|9684.10
10007015|"brandunivamalg #15"|19|5|9679.15
5003002|"exportischolar #2"|17|29|9671.79
4004001|"edu packedu pack #1"|9|6|9668.38
4002002|"importoedu pack #2"|19|52|9637.54
9001008|"amalgmaxi #8"|19|1|9630.00
9004011|"edu packmaxi #11"|9|48|9627.00
5001002|"amalgscholar #2"|9|1|9604.80
6015005|"scholarbrand #5"|17|34|9601.00
4002001|"importoedu pack #1"|18|11|9600.48
10015013|"scholaramalgamalg #13"|19|27|9595.07
6016005|"corpbrand #5"|8|49|9584.79
8004009|"edu packnameless #9"|19|24|9576.14
4002001|"importoedu pack #1"|18|33|9556.44
2001002|"amalgimporto #2"|18|47|9553.20
6008007|"namelesscorp #7"|18|35|9539.53
7010004|"univnameless #4"|19|38|9531.84
10004015|"edu packunivamalg #15"|17|48|9522.00
9009002|"maximaxi #2"|9|0|9521.58
8002009|"importonameless #9"|17|9|9503.19
4001002|"amalgedu pack #2"|9|0|9469.04
5003002|"exportischolar #2"|18|52|9464.16
2004002|"edu packimporto #2"|8|6|9453.00
9013009|"exportiunivamalg #9"|9|52|9453.00
8010009|"univmaxi #9"|7|13|9451.68
4003001|"exportiedu pack #1"|18|1|9442.17
7010009|"univnameless #9"|19|16|9441.00
8002009|"importonameless #9"|18|32|9433.68
8006003|"corpnameless #3"|9|37|9422.42
8005009|"scholarnameless #9"|18|50|9417.44
2003001|"exportiimporto #1"|6|22|9409.18
7004007|"edu packbrand #7"|17|40|9404.32
6015005|"scholarbrand #5"|18|5|9402.40
9008011|"namelessmaxi #11"|8|9|9391.95
5003002|"exportischolar #2"|8|51|9381.96
9003011|"exportimaxi #11"|17|8|9373.84
2001001|"amalgimporto #1"|18|50|9345.00
1004002|"edu packamalg #2"|18|37|9333.85
1002001|"importoamalg #1"|17|53|9322.27
5001001|"amalgscholar #1"|18|32|9305.40
4002001|"importoedu pack #1"|7|36|9301.17
3002002|"importoexporti #2"|19|43|9291.07
5002002|"importoscholar #2"|18|52|9288.90
1004002|"edu packamalg #2"|17|46|9265.80
9012011|"importounivamalg #11"|19|36|9233.73
3001002|"amalgexporti #2"|18|21|9229.44
4004001|"edu packedu pack #1"|17|21|9226.80
4001001|"amalgedu pack #1"|9|9|9215.80
10006013|"corpunivamalg #13"|17|16|9211.50
2004001|"edu packimporto #1"|9|17|9198.28
1001001|"amalgamalg #1"|18|45|9191.19
7009005|"maxibrand #5"|19|11|9184.56
5001001|"amalgscholar #1"|19|57|9179.17
10014001|"edu packamalgamalg #1"|9|56|9169.86
10016006|"corpamalgamalg #6"|17|15|9159.36
2001002|"amalgimporto #2"|17|6|9148.96
8007007|"brandnameless #7"|19|58|9146.28
4004001|"edu packedu pack #1"|8|48|9145.05
5004001|"edu packscholar #1"|18|2|9141.96
8015007|"scholarmaxi #7"|19|20|9139.76
1001002|"amalgamalg #2"|19|7|9139.38
7015003|"scholarnameless #3"|17|34|9137.59
3001001|"amalgexporti #1"|17|3|9121.40
9011009|"amalgunivamalg #9"|19|2|9110.08
5003001|"exportischolar #1"|18|22|9109.54
3003002|"exportiexporti #2"|9|34|9109.32
1003001|"exportiamalg #1"|19|10|9104.93
10008002|"namelessunivamalg #2"|7|56|9101.08
4004001|"edu packedu pack #1"|19|29|9099.20
10003011|"exportiunivamalg #11"|9|24|9087.54
4002001|"importoedu pack #1"|7|28|9079.59
2003002|"exportiimporto #2"|17|10|9071.28
2001001|"amalgimporto #1"|8|13|9061.10
10001017|"amalgunivamalg #17"|9|13|9056.48
2002001|"importoimporto #1"|9|15|9054.82
9002003|"importomaxi #3"|9|10|9054.22
3002002|"importoexporti #2"|18|37|9051.12
9014011|"edu packunivamalg #11"|6|32|9042.14
8005008|"scholarnameless #8"|19|15|9027.92
6009004|"maxicorp #4"|17|15|9020.82
10012004|"importoamalgamalg #4"|19|12|9013.76
6008007|"namelesscorp #7"|9|46|9006.00
10012010|"importoamalgamalg #10"|19|7|9005.92
5002002|"importoscholar #2"|17|13|9005.16
1002001|"importoamalg #1"|19|7|8995.19
3002001|"importoexporti #1"|17|30|8980.29
6005007|"scholarcorp #7"|18|51|8979.30
4002001|"importoedu pack #1"|7|30|8979.09
1002001|"importoamalg #1"|18|7|8977.70
5004001|"edu packscholar #1"|8|11|8972.76
1003002|"exportiamalg #2"|8|37|8970.30
4003001|"exportiedu pack #1"|8|57|8966.10
5001002|"amalgscholar #2"|9|46|8965.60
9005009|"scholarmaxi #9"|17|20|8962.80
9009003|"maximaxi #3"|19|52|8960.13
10003004|"exportiunivamalg #4"|18|35|8926.44
1003001|"exportiamalg #1"|17|18|8923.88
3002002|"importoexporti #2"|7|41|8923.53
6015007|"scholarbrand #7"|19|3|8921.25
1001001|"amalgamalg #1"|18|12|8905.72
5004001|"edu packscholar #1"|18|22|8902.86
2002001|"importoimporto #1"|18|32|8891.52
9001003|"amalgmaxi #3"|18|48|8891.10
5004001|"edu packscholar #1"|9|41|8889.66
6014001|"edu packbrand #1"|17|41|8885.76
1002001|"importoamalg #1"|18|42|8885.36
1001001|"amalgamalg #1"|8|2|8877.00
8007007|"brandnameless #7"|19|19|8874.00
4003001|"exportiedu pack #1"|18|36|8873.30
7004007|"edu packbrand #7"|6|38|8871.72
7006009|"corpbrand #9"|19|11|8866.00
5004002|"edu packscholar #2"|19|42|8857.15
9015002|"scholarunivamalg #2"|18|15|8856.36
7006009|"corpbrand #9"|8|0|8848.72
4003002|"exportiedu pack #2"|19|57|8847.60
1003001|"exportiamalg #1"|18|43|8841.65
9012011|"importounivamalg #11"|19|34|8797.60
6011008|"amalgbrand #8"|9|59|8792.96
2003002|"exportiimporto #2"|19|39|8780.74
6014006|"edu packbrand #6"|18|19|8777.08
2004001|"edu packimporto #1"|19|56|8775.08
10015001|"scholaramalgamalg #1"|8|10|8766.48
10012004|"importoamalgamalg #4"|7|6|8759.04
10016002|"corpamalgamalg #2"|17|9|8756.00
5002001|"importoscholar #1"|19|19|8744.67
7002003|"importobrand #3"|18|31|8723.52
4003001|"exportiedu pack #1"|9|29|8704.08
2004002|"edu packimporto #2"|9|40|8699.40
9003011|"exportimaxi #11"|18|37|8686.86
1003002|"exportiamalg #2"|17|13|8683.06
4003001|"exportiedu pack #1"|17|27|8678.28
6008007|"namelesscorp #7"|19|38|8677.90
3002002|"importoexporti #2"|9|3|8676.20
1001002|"amalgamalg #2"|9|22|8674.18
2001001|"amalgimporto #1"|8|50|8655.66
2002001|"importoimporto #1"|9|27|8651.89
2001001|"amalgimporto #1"|17|42|8646.06
4004001|"edu packedu pack #1"|17|26|8641.08
10006017|"corpunivamalg #17"|9|14|8618.40
9011008|"amalgunivamalg #8"|19|32|8611.72
9002011|"importomaxi #11"|19|5|8602.25
5004001|"edu packscholar #1"|8|1|8597.68
9007003|"brandmaxi #3"|9|27|8593.20
4002002|"importoedu pack #2"|18|3|8591.04
1001002|"amalgamalg #2"|9|12|8581.56
6014004|"edu packbrand #4"|17|17|8581.30
4002001|"importoedu pack #1"|17|18|8563.16
6007007|"brandcorp #7"|17|57|8558.10
5001001|"amalgscholar #1"|18|0|8553.72
3003001|"exportiexporti #1"|19|54|8549.79
5002001|"importoscholar #1"|8|0|8547.00
8010009|"univmaxi #9"|8|31|8535.80
9011009|"amalgunivamalg #9"|19|49|8527.96
8014004|"edu packmaxi #4"|8|43|8518.16
10015013|"scholaramalgamalg #13"|18|1|8517.18
4004001|"edu packedu pack #1"|17|49|8510.94
7001008|"amalgbrand #8"|19|40|8467.32
3003001|"exportiexporti #1"|17|55|8465.45
8004001|"edu packnameless #1"|17|43|8463.18
2002001|"importoimporto #1"|6|36|8442.00
2001002|"amalgimporto #2"|17|24|8441.75
8002009|"importonameless #9"|19|28|8439.97
9012005|"importounivamalg #5"|9|18|8422.14
9008005|"namelessmaxi #5"|19|43|8418.60
8008005|"namelessnameless #5"|17|55|8416.24
3002001|"importoexporti #1"|18|57|8412.88
3002001|"importoexporti #1"|9|11|8411.58
5004001|"edu packscholar #1"|18|11|8411.48
5001001|"amalgscholar #1"|17|23|8410.96
3004002|"edu packexporti #2"|19|37|8410.93
7009003|"maxibrand #3"|9|39|8407.52
10015005|"scholaramalgamalg #5"|17|21|8401.92
1004001|"edu packamalg #1"|17|1|8397.56
4002001|"importoedu pack #1"|8|24|8374.08
6010004|"univbrand #4"|18|49|8371.72
9003008|"exportimaxi #8"|17|57|8346.40
9011009|"amalgunivamalg #9"|8|52|8341.76
6011008|"amalgbrand #8"|9|26|8335.21
3003001|"exportiexporti #1"|17|30|8334.66
8013009|"exportimaxi #9"|18|10|8320.65
8008004|"namelessnameless #4"|7|41|8320.00
2001001|"amalgimporto #1"|19|23|8319.92
3003001|"exportiexporti #1"|19|10|8313.36
9012003|"importounivamalg #3"|19|15|8311.68
3001002|"amalgexporti #2"|17|23|8302.14
4003001|"exportiedu pack #1"|19|47|8298.00
1003002|"exportiamalg #2"|8|1|8286.88
7004001|"edu packbrand #1"|7|0|8283.64
