i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Shoes|exportiedu pack #1|North Midwest|1999|2|18009.405833333334|8715.59|10743.02|11921.56
Shoes|exportiedu pack #1|Hawaii/Alaska_1|1999|7|17743.459166666667|8457.76|11010.78|23168.54
Shoes|exportiedu pack #1|Mid Atlantic_1|1999|3|17843.664166666666|8561.33|10573.96|10855.55
Music|importoscholar #1|Pacific Northwest|1999|6|17757.26|8480.69|12705.11|9290.62
Children|edu packexporti #1|Pacific Northwest|1999|7|16421.876666666667|7200.07|7229.10|22959.14
Music|importoscholar #1|Hawaii/Alaska_1|1999|4|17307.695|8087.55|10359.22|8326.51
Men|edu packimporto #1|Hawaii/Alaska|1999|4|17933.604166666668|8720.47|11287.38|9592.51
Shoes|edu packedu pack #1|North Midwest_1|1999|1|16725.896666666667|7513.56|35190.52|8046.56
Men|edu packimporto #1|NY Metro|1999|6|17316.240833333333|8103.94|9836.46|9392.46
Men|importoimporto #1|NY Metro|1999|2|17259.033333333333|8061.80|11192.15|9309.32
Children|edu packexporti #1|Pacific Northwest|1999|6|16421.876666666667|7229.10|8945.06|7200.07
Shoes|amalgedu pack #1|Pacific Northwest_1|1999|6|16996.039166666666|7810.05|9792.41|10304.67
Women|exportiamalg #1|Hawaii/Alaska_1|1999|7|16675.388333333332|7502.36|9478.76|23528.25
Men|edu packimporto #1|NY Metro_1|1999|3|17616.523333333334|8448.54|10476.28|8486.85
Women|importoamalg #1|Hawaii/Alaska|1999|4|16860.173333333332|7717.19|11326.62|11453.15
Music|edu packscholar #1|California_1|1999|2|17828.229166666668|8686.97|9196.31|12141.39
Men|edu packimporto #1|NY Metro_1|1999|4|17616.523333333334|8486.85|8448.54|10163.09
Women|importoamalg #1|Hawaii/Alaska_1|1999|5|17168.283333333333|8070.88|9673.36|9926.62
Shoes|amalgedu pack #1|California_1|1999|4|17177.408333333333|8081.90|9892.87|10703.71
Shoes|importoedu pack #1|California|1999|2|17154.883333333335|8074.22|9271.37|8473.03
Music|amalgscholar #1|Mid Atlantic|1999|2|16554.34|7483.96|10612.76|9353.79
Children|importoexporti #1|Mid Atlantic|1999|2|16884.659166666668|7838.36|10855.20|8460.20
Women|importoamalg #1|California|1999|2|16661.69|7619.73|8112.66|9540.82
Women|importoamalg #1|Mid Atlantic|1999|2|16926.699166666665|7894.41|9892.36|10618.73
Shoes|exportiedu pack #1|North Midwest_1|1999|4|17754.48|8733.25|10282.92|11796.61
Men|amalgimporto #1|Hawaii/Alaska_1|1999|5|16502.66083333333|7484.45|7179.53|9526.70
Music|edu packscholar #1|Pacific Northwest_1|1999|1|17295.225|8284.66|37178.62|10488.29
Shoes|edu packedu pack #1|Pacific Northwest_1|1999|7|16576.355|7566.04|10195.21|21554.27
Music|exportischolar #1|NY Metro|1999|2|16748.1325|7744.20|8572.86|10509.45
Children|importoexporti #1|Pacific Northwest_1|1999|7|16515.485|7519.53|10125.89|22662.84
Shoes|amalgedu pack #1|California|1999|1|17852.5875|8857.61|36422.33|9364.77
Men|edu packimporto #1|Pacific Northwest_1|1999|7|18106.565|9117.44|10134.73|25869.09
Music|importoscholar #1|Hawaii/Alaska_1|1999|5|17307.695|8326.51|8087.55|8729.57
Men|amalgimporto #1|California_1|1999|2|16605.491666666665|7626.74|9566.57|10172.97
Women|importoamalg #1|Hawaii/Alaska_1|1999|7|17168.283333333333|8193.26|9926.62|21547.83
Children|exportiexporti #1|NY Metro|1999|2|17665.7175|8696.79|9916.38|9036.64
Music|importoscholar #1|Pacific Northwest|1999|3|17757.26|8809.97|10356.38|10122.83
Men|importoimporto #1|NY Metro_1|1999|3|16820.0075|7903.69|8332.74|8962.70
Music|edu packscholar #1|Hawaii/Alaska_1|1999|2|18206.079166666666|9290.92|12741.53|11400.00
Women|exportiamalg #1|North Midwest_1|1999|2|16426.2025|7521.91|10919.96|6978.28
Men|importoimporto #1|North Midwest|1999|4|16690.585833333334|7814.01|10104.03|11147.05
Children|importoexporti #1|NY Metro_1|1999|3|17472.18666666667|8616.58|9561.15|11429.37
Men|edu packimporto #1|North Midwest|1999|2|17233.385|8393.04|9352.15|10783.99
Music|exportischolar #1|Mid Atlantic|1999|2|17100.330833333333|8262.79|9835.80|8879.61
Music|importoscholar #1|Mid Atlantic_1|1999|5|16684.425833333335|7856.89|11162.71|7878.01
Children|exportiexporti #1|Mid Atlantic|1999|6|16949.986666666668|8134.92|11238.55|10433.76
Shoes|edu packedu pack #1|Mid Atlantic|1999|5|16795.995833333334|7984.51|8086.13|8959.96
Music|importoscholar #1|Mid Atlantic_1|1999|6|16684.425833333335|7878.01|7856.89|8511.26
Shoes|exportiedu pack #1|Hawaii/Alaska_1|1999|2|17743.459166666667|8944.73|10529.68|12210.73
Music|exportischolar #1|NY Metro_1|1999|3|16893.206666666665|8104.04|9426.04|8829.57
Men|edu packimporto #1|Pacific Northwest_1|1999|4|18106.565|9319.72|11308.08|10014.25
Shoes|exportiedu pack #1|Hawaii/Alaska_1|1999|5|17743.459166666667|8961.98|8963.96|11010.78
Shoes|exportiedu pack #1|Hawaii/Alaska_1|1999|4|17743.459166666667|8963.96|12210.73|8961.98
Women|edu packamalg #1|NY Metro|1999|5|16601.666666666668|7847.21|8463.76|8722.48
Men|edu packimporto #1|NY Metro_1|1999|6|17616.523333333334|8867.48|10163.09|11246.55
Men|edu packimporto #1|Hawaii/Alaska_1|1999|3|17210.52666666667|8467.92|7031.23|10784.55
Music|edu packscholar #1|Pacific Northwest_1|1999|6|17295.225|8557.11|11046.06|9140.25
Music|edu packscholar #1|North Midwest|1999|6|17856.795833333334|9124.91|9632.35|10880.35
Women|importoamalg #1|North Midwest|1999|2|17132.6425|8401.69|10990.70|10162.89
Women|importoamalg #1|NY Metro_1|1999|1|17011.153333333332|8280.86|33300.12|9587.11
Children|exportiexporti #1|North Midwest|1999|2|16882.0725|8164.62|8993.76|8814.04
Women|importoamalg #1|North Midwest_1|1999|5|16741.168333333335|8026.06|10020.26|10121.72
Shoes|exportiedu pack #1|Pacific Northwest_1|1999|7|17146.665|8435.08|9688.06|23138.05
Shoes|edu packedu pack #1|Mid Atlantic|1999|4|16795.995833333334|8086.13|8773.55|7984.51
Shoes|importoedu pack #1|Mid Atlantic|1999|2|16533.455|7829.82|9979.49|9848.75
Women|edu packamalg #1|NY Metro_1|1999|5|16309.501666666667|7618.47|9661.04|8572.67
Shoes|amalgedu pack #1|NY Metro|1999|2|16817.969166666666|8127.77|9785.63|10870.50
Children|exportiexporti #1|NY Metro_1|1999|4|16866.741666666665|8180.15|9892.37|10188.77
Shoes|importoedu pack #1|California|1999|3|17154.883333333335|8473.03|8074.22|9402.97
